experiment_name,model,feature_set,params,accuracy,precision,recall,f1,roc_auc
random_forest_depth_14,random_forest,with_feature_engineering,"n_estimators=200, max_depth=14",0.9449235191458782,0.9540719696969697,0.9448560442652162,0.9494416434999764,0.989988631814774
extra_trees_depth_14,extra_trees,with_feature_engineering,"n_estimators=200, max_depth=14",0.9367108099784416,0.9429725667042466,0.941292319234737,0.9421316938095462,0.9871244187008652
random_forest_depth_10,random_forest,with_feature_engineering,"n_estimators=150, max_depth=10",0.9271635355712966,0.9301135306160432,0.9373534652536809,0.9337194637769163,0.9839115449422527
gradient_boosting_default,gradient_boosting,with_feature_engineering,default,0.9192588029976388,0.9279661016949152,0.9242239519834943,0.926091246534793,0.978345331465657
decision_tree_depth_10,decision_tree,with_feature_engineering,max_depth=10,0.92259521609691,0.9253786822785987,0.9338835224608459,0.9296116504854369,0.9762693453513833
decision_tree_depth_6,decision_tree,with_feature_engineering,max_depth=6,0.8931834513910276,0.909524718457721,0.8937447247491325,0.9015656780663166,0.9575495748763648
logreg_with_feature_engineering,logistic_regression,with_feature_engineering,max_iter=1000,0.8309721794476953,0.8467256304102371,0.8439463565600676,0.8453337090789536,0.9022036826633246
logreg_without_feature_engineering,logistic_regression,without_feature_engineering,max_iter=1000,0.8298429319371727,0.8454955802144066,0.843196098658914,0.8443442738413861,0.9016109797721423
dummy_without_feature_engineering,dummy_most_frequent,without_feature_engineering,strategy=most_frequent,0.5473257365773535,0.5473257365773535,1.0,0.7074473378669763,0.5
